to,from,sp,est,lwr,upr
Nu-Salween River,Western Indian Ocean,Anguilla bengalensis,0.02276186,0.0000080000 ,0.1814471
Nu-Salween River,Eastern Indian Ocean,Anguilla bengalensis,0.97723814,0.8185529000 ,0.9999915
Nu-Salween River,Eastern Indian Ocean,Anguilla bicolor,0.52557687,0.0057758400 ,0.9497211
Nu-Salween River,Western Pacific,Anguilla bicolor,0.06416758,0.0000152278 ,0.2143186
Nu-Salween River,Western Indian Ocean,Anguilla bicolor,0.41025555,0.0002246618 ,0.9556462
Nu-Salween River,Western Indian Ocean,Anguilla marmorata,0.009770393,0.0000000001 ,0.07811993
Nu-Salween River,Eastern Indian Ocean,Anguilla marmorata,0.015616332,0.0000000015 ,0.13612912
Nu-Salween River,Northwest Pacific,Anguilla marmorata,0.08640044,0.0000000011 ,0.63900869
Nu-Salween River,Western Pacific,Anguilla marmorata,0.876810747,0.2855941000 ,0.99890283
Nu-Salween River,Eastern Pacific,Anguilla marmorata,0.011402088,0.0000000001 ,0.08247199
